AHA_NAME,AHA_ID,ST_NAME,DIST_ID,DIST_NAME,RANK,TOTAL_ENROLLED_STUDENTS,ELEM,MIDD,HIGH,2.1.4.1.1,2.1.4.1.2,2.1.4.1.3,2.2.5.1,2.2.5.1.1,2.2.5.1.1.1,2.2.5.1.3,3.1.3.1.0,3.1.3.1.1,3.1.3.1.2,3.1.3.1.3,3.1.3.1.4,3.2.1.1,5.1.4.1,11.1.1,11.1.2
Birmingham,GSA03,Alabama,0100007,HOOVER CITY,4,13448,6122,3194,4132,,,,,,,,,,,,,1,,,
Birmingham,GSA03,Alabama,0100390,BIRMINGHAM CITY,3,25091,12751,5723,6617,,,,,,,,,,,,,1,,,
Birmingham,GSA03,Alabama,0101920,JEFFERSON COUNTY,1,35978,15952,8720,11306,,,,,,,,,,,,,1,,,
Birmingham,GSA03,Alabama,0103030,SHELBY COUNTY,2,28304,13569,6682,8053,,,,,,,,,,,,,1,,,
Birmingham,GSA03,Alabama,0103062,ST CLAIR COUNTY,5,8648,4197,2015,2436,,,,,,,,,,,,,1,,,
Tucson,WSA21,Arizona,0400680,AMPHITHEATER UNIFIED DISTRICT,3,14422,6542,3220,4660,,,,,,,,,,,,,0,,,
Phoenix,WSA14,Arizona,0401870,CHANDLER UNIFIED DISTRICT,2,39555,18914,8958,11637,,,,,,,,,,,,,1,,,
Phoenix,WSA14,Arizona,0403400,GILBERT UNIFIED DISTRICT,3,38311,16541,9351,12419,,,,,,,,,,,,,1,,,
Tucson,WSA21,Arizona,0404630,MARANA UNIFIED DISTRICT,4,12470,5631,2978,3861,,,,,,,,,,,,,1,,,
Phoenix,WSA14,Arizona,0404970,MESA UNIFIED DISTRICT,1,64728,30822,14888,19018,,,,,,,,,,,,,1,,,
Phoenix,WSA14,Arizona,0406250,PEORIA UNIFIED SCHOOL DISTRICT,4,36620,15540,8549,12521,,,,,,,,,,,,,1,,,
Phoenix,WSA14,Arizona,0407750,DEER VALLEY UNIFIED DISTRICT,5,34662,15152,8568,10942,,,,,,,,,,,,,1,,,
Tucson,WSA21,Arizona,0408170,SUNNYSIDE UNIFIED DISTRICT,2,17615,8738,4148,4729,,,,,,,,,,,,,1,,,
Tucson,WSA21,Arizona,0408800,TUCSON UNIFIED DISTRICT,1,51720,25230,11211,15236,,,,,,,,,,,,,1,,,
Tucson,WSA21,Arizona,0408850,VAIL UNIFIED DISTRICT,5,9928,4154,2610,3164,,,,,,,,,,,,,1,,,
Northwest Arkansas,SWA09,Arkansas,0503060,BENTONVILLE SCHOOL DISTRICT,3,14123,7233,3300,3584,,,,,,,,,,,,,1,,,
Little Rock,SWA08,Arkansas,0503750,CABOT SCHOOL DISTRICT,3,10373,5058,2362,2953,,,,,,,,,,,,,1,,,
Little Rock,SWA08,Arkansas,0504590,CONWAY SCHOOL DISTRICT,4,9646,4828,2102,2716,,,,,,,,,,,,,1,,,
Northwest Arkansas,SWA09,Arkansas,0506120,FAYETTEVILLE SCHOOL DISTRICT,4,9017,4497,1984,2536,,,,,,,,,,,,,1,,,
Memphis,GSA06,Arkansas,0508040,WEST MEMPHIS SCHOOL DISTRICT,5,5724,2811,1305,1608,,,,,,,,,,,,,1,,,
Little Rock,SWA08,Arkansas,0509000,LITTLE ROCK SCHOOL DISTRICT,1,25537,13497,5156,6884,,,,,,,,,,,,,1,,,
Little Rock,SWA08,Arkansas,0510680,N. LITTLE ROCK SCHOOL DISTRICT,5,9085,4588,1891,2604,,,,,,,,,,,,,1,,,
Little Rock,SWA08,Arkansas,0511850,PULASKI CO. SPEC. SCHOOL DIST.,2,17637,9398,3659,4580,,,,,,,,,,,,,1,,,
Northwest Arkansas,SWA09,Arkansas,0511970,ROGERS SCHOOL DISTRICT,2,14485,7203,3145,4137,,,,,,,,,,,,,1,,,
Northwest Arkansas,SWA09,Arkansas,0512450,SILOAM SPRINGS SCHOOL DISTRICT,5,4082,1987,912,1183,,,,,,,,,,,,,1,,,
Northwest Arkansas,SWA09,Arkansas,0512660,SPRINGDALE SCHOOL DISTRICT,1,19976,10258,4447,5271,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0600028,TEMECULA VALLEY UNIFIED,4,30267,12947,7353,9921,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0601332,TWIN RIVERS UNIFIED,4,31637,15232,7126,9279,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0601414,SANTA BARBARA UNIFIED,1,15326,4937,3917,6472,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0602630,ANAHEIM UNION HIGH,4,32704,0,10506,22198,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0603630,BAKERSFIELD CITY,2,28321,19911,8410,0,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0605580,SANTA MARIA-BONITA,2,14624,10223,4401,0,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0606390,PANAMA-BUENA VISTA UNION,3,16810,11031,5779,0,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0607440,CAPISTRANO UNIFIED,2,53170,23634,12637,16899,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0607970,CENTRAL UNIFIED,3,14896,6931,3599,4350,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0608610,CHULA VISTA ELEMENTARY,4,28101,23494,4607,0,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0609030,CLOVIS UNIFIED,2,39040,17555,9292,12193,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0609850,CORONA-NORCO UNIFIED,1,53467,23424,12476,17567,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0609850,CORONA-NORCO UNIFIED,2,53467,23424,12476,17567,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0610290,CUPERTINO UNION,3,18650,12598,6052,0,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0610890,DELANO UNION ELEMENTARY,5,7712,5387,2320,5,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0611110,DESERT SANDS UNIFIED,5,29199,13032,6757,9410,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0611820,EAST SIDE UNION HIGH,2,25638,189,47,25281,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0612330,ELK GROVE UNIFIED,1,62126,27644,14559,19476,,,,,,,,,,,,,1,,,
Silicon Valley,WSA19,California,0613140,EVERGREEN ELEMENTARY,5,13351,8673,4678,0,,,,,,,,,,,,,1,,,
Sacramento Division,WSA15,California,0613890,FOLSOM-CORDOVA UNIFIED,5,19154,9099,4368,5677,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0613920,FONTANA UNIFIED,4,40592,18503,9067,13022,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0614400,FREMONT UNIFIED,3,32829,15446,7279,10091,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0614550,FRESNO UNIFIED,1,74235,35975,16219,22041,,,,,,,,,,,,,1,,,
Orange County Division,WSA13,California,0614880,GARDEN GROVE UNIFIED,3,47999,21323,11172,15504,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0616050,GREENFIELD UNION,4,8512,6029,2465,18,,,,,,,,,,,,,1,,,
Kern County Division,WSA08,California,0619540,KERN UNION HIGH,1,37505,0,0,37505,,,,,,,,,,,,,1,,,
Central Valley Division,WSA03,California,0619700,KINGS CANYON JOINT UNIFIED,5,9841,4671,2136,3034,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0622410,LOMPOC UNIFIED,3,9802,4606,2201,2995,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0622500,LONG BEACH UNIFIED,2,83691,37843,18720,27128,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0622710,LOS ANGELES UNIFIED,1,659639,311822,143197,204617,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0625470,MONTEBELLO UNIFIED,3,31319,13385,7312,10622,,,,,,,,,,,,,1,,,
Coachella Valley Division,WSA04,California,0625800,MORENO VALLEY UNIFIED,3,35692,16278,8371,11043,,,,,,,,,,,,,1,,,
Inland Empire Division,WSA07,California,0625800,MORENO VALLEY UNIFIED,5,35692,16278,8371,11043,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0626370,MT. DIABLO UNIFIED,2,33977,15736,7609,10632,,,,,,,,,,,,,1,,,
East Bay Division,WSA05,California,0628050,OAKLAND UNIFIED,1,46377,23988,10241,12148,,,,,,,,,,,,,1,,,
Central Coast Division,WSA02,California,0628710,ORCUTT UNION ELEMENTARY,5,5004,2900,1615,489,,,,,,,,,,,,,1,,,
Los Angeles County Division,WSA10,California,0631320,POMONA UNIFIED,4,27737,12887,6186,7582,,,,,,,,,,,,,1,,,
San Diego Division,WSA16,California,0631530,POWAY UNIFIED,3,34569,15717,7960,10826,,,,,,,,,,,,,1,,,
San Francisco Division,WSA17,California,0632130,REDWOOD CITY ELEMENTARY,4,9273,6426,2847,0,,,,,,,,,,,,,1,,,
